Race Date,Race Name,Year
Mar 26 - 28,Bahrain GP,2021
Apr 16 - 18,Emilia Romagna GP,2021
Apr 30 - May 2,Portuguese GP,2021
May 7 - 9,Spanish GP,2021
May 20 - 23,Monaco GP,2021
Jun 4 - 6,Socar Azerbaijan GP,2021
Jun 18 - 20,French GP,2021
Jun 25 - 27,Austrian GP,2021
Jul 2 - 4,Austrian GP 2,2021
Jul 16 - 18,British GP,2021
Jul 30 - Aug 1,Hungarian GP,2021
Aug 27 - 29,Belgian GP,2021
Sep 3 - 5,Dutch GP,2021
Sep 10 - 12,Italian GP,2021
Sep 24 - 26,VTB Russian GP,2021
Oct 8 - 10,Turkish GP,2021
Oct 22 - 24,United States GP,2021
Nov 5 - 7,Mexican GP,2021
Nov 12 - 14,Brazilian GP,2021
Nov 19 - 21,Qatar GP,2021
Dec 3 - 5,Saudi Arabian GP,2021
Dec 10 - 12,Etihad Airways Abu Dhabi GP,2021
Mar 18 - 20,Gulf Air Bahrain GP,2022
Mar 25 - 27,STC Saudi Arabian GP,2022
Apr 7 - 10,Heineken Australian GP,2022
Apr 22 - 24,Rolex Emilia Romagna GP,2022
May 6 - 8,Crypto.com Miami GP,2022
May 20 - 22,Pirelli Spanish GP,2022
May 27 - 29,Monaco GP,2022
Jun 10 - 12,Azerbaijan GP,2022
Jun 17 - 19,AWS Canada GP,2022
Jul 1 - 3,Lenovo British GP,2022
Jul 8 - 10,Rolex Austrian GP,2022
Jul 22 - 24,Lenovo French GP,2022
Jul 29 - 31,Aramco Hungarian GP,2022
Aug 26 - 28,Rolex Belgian GP,2022
Sep 2 - 4,Heineken Dutch GP,2022
Sep 9 - 11,Pirelli Italian GP,2022
Sep 30 - Oct 2,Singapore Air Singapore GP,2022
Oct 6 - 9,Honda Japanese GP,2022
Oct 21 - 23,Aramco United States GP,2022
Oct 28 - 30,Mexico GP,2022
Nov 11 - 13,Heineken Brazil GP,2022
Nov 18 - 20,Etihad Airways Abu Dhabi GP,2022
Mar 3 - 5,Gulf Air Bahrain GP,2023
Mar 17 - 19,STC Saudi Arabian GP,2023
Mar 30 - Apr 2,Rolex Australian GP,2023
Apr 28 - 30,Azerbaijan GP,2023
May 5 - 7,Crypto.com Miami GP,2023
May 26 - 28,Monaco GP,2023
Jun 2 - 4,AWS Spanish GP,2023
Jun 16 - 18,Pirelli Canadian GP,2023
Jun 30 - Jul 2,Rolex Austrian GP,2023
Jul 7 - 9,Aramco British GP,2023
Jul 21 - 23,Qatar Airways Hungarian GP,2023
Jul 28 - 30,MSC Cruises Belgian GP,2023
Aug 25 - 27,Heineken Dutch GP,2023
Sep 1 - 3,Pirelli Italian GP,2023
Sep 15 - 17,Singapore Airlines Singapore GP,2023
Sep 21 - 24,Lenovo Japanese GP,2023
Oct 6 - 8,Qatar Airways Qatar GP,2023
Oct 20 - 22,Lenovo United States GP,2023
Oct 27 - 29,Mexico City GP,2023
Nov 3 - 5,Rolex São Paulo GP,2023
Nov 16 - 19,Heineken Las Vegas GP,2023
Nov 24 - 26,Etihad Airways Abu Dhabi GP,2023
Feb 29 - Mar 2,Gulf Air Bahrain GP,2024
Mar 7 - 9,STC Saudi Arabian GP,2024
Mar 21 - 24,Rolex Australian GP,2024
