Team,Race Date,Race Name,Product Rank,Product Name,Product Link,Current Price,Previous Price,Price Change,Team Cumulative Placement,Team Placement Change,Mercedes Driver HAM Pos,Mercedes Driver BOT Pos,Red Bull Driver VER Pos,Red Bull Driver PER Pos,Ferrari Driver SAI Pos,Ferrari Driver LEC Pos,McLaren Driver NOR Pos,McLaren Driver RIC Pos,Alpine Driver ALO Pos,Alpine Driver OCO Pos,AlphaTauri Driver GAS Pos,AlphaTauri Driver TSU Pos,Aston Martin Driver VET Pos,Aston Martin Driver STR Pos,Williams Driver RUS Pos,Williams Driver LAT Pos,Alfa Romeo Driver RAI Pos,Alfa Romeo Driver GIO Pos,Haas Driver MSC Pos,Haas Driver MAZ Pos,Gender Category
Mercedes,Mar 26 - 28,Bahrain GP,1,"Mercedes AMG Petronas F1 Sherpa Blanket – Official Formula 1 Merchandise, Ultra Soft Fleece Throw with Warm Sherpa Reverse, Premium Cozy Blanket for Sofa Bed Travel, 47x59 in",https://www.amazon.com/Mercedes-AMG-Petronas-Sherpa-Blanket/dp/B0G3XPLP6S/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sr=8-4,$34.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Unisex
Mercedes,Mar 26 - 28,Bahrain GP,2,"Speed Champions Mercedes-AMG F1 W15 Race Car Toy - Building Set for Kids, Boys & Girls, Ages 10+ - Toy Car for F1 Fans - Gift Idea for Birthday - 77244",https://www.amazon.com/F1-McLaren-Essentials-Logo-Dark/dp/B08X1434TJ/ref=sr_1_31_mod_primary_new?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-31,$21.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Unisex
Mercedes,Mar 26 - 28,Bahrain GP,3,Red Bull Racing F1 Men's 2025 Team Polo Shirt,https://www.amazon.com/F1-McLaren-Essentials-Logo-Dark/dp/B08X1434TJ/ref=sr_1_31_mod_primary_new?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-31,$44.32,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Men
Mercedes,Mar 26 - 28,Bahrain GP,4,F1 2024 Men's Team Polo Shirt - White/Black,https://www.amazon.com/F1-McLaren-Essentials-Logo-Dark/dp/B08X1434TJ/ref=sr_1_31_mod_primary_new?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-31,$39.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Men
Mercedes,Mar 26 - 28,Bahrain GP,5,"Official Mercedes F1 Towel | Super Soft Feel, Formula One Team Design | Perfect for The Home, Bath, Beach & Swimming Pool | One Size 30 x 59” | 100% Cotton",https://www.amazon.com/F1-McLaren-Essentials-Logo-Dark/dp/B08X1434TJ/ref=sr_1_31_mod_primary_new?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-31,$27.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Unisex
Mercedes,Mar 26 - 28,Bahrain GP,6,"Mercedes AMG Petronas F1 Fleece Blanket – Official Formula 1 Merchandise, Stealth Mesh Design Black Throw, Ultra Soft Lightweight Blanket for Sofa Travel & Fans, 40x59 in",https://www.amazon.com/Mercedes-AMG-Petronas-Fleece-Blanket/dp/B0G3XPLP6N/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sr=8-5,$24.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Unisex
Mercedes,Mar 26 - 28,Bahrain GP,7,Haas Racing F1 Team Logo Hat - Black,https://www.amazon.com/F1-McLaren-Essentials-Logo-Dark/dp/B08X1434TJ/ref=sr_1_31_mod_primary_new?dib=eyJ2IjoiMSJ9.1aLXREvB-SXjUUAKQinDWcBTexVyQFH2Xd10OQ7nZLI0N6bqXJJQCIO3TGa7_PkwZe7gLDSdm9Dd10Z6UrMsj1QsHu_LlqHfeqiuWJ0MlnzTPhQt6hYjU0l6BocMZuAH3j6nOyAXjuhmOw0EK35YRWsGUdULXM-TbVimvSAbLBRK53ZXvJHkjPm1IiiQkkycq2bGERitYhepidFi8On6LU6ahiS8tFcARuxzl9fJAgJbxqojJAVZhPVEB4HNNKCqerkMia2m3uPwp6sL0Q3wThu4pDAmT-sI8QrOfJNwPrU.lYZxBFNHGMRLPA3eFCmpPQsoA5POCynw_pUQWw2uZxQ&dib_tag=se&keywords=Mercedes+F1+racing+team+2021+product&qid=1777391087&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-31,$9.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Unisex
Mercedes,Mar 26 - 28,Bahrain GP,8,Formula One Team - 2023 Team Polo - White - Men - Size: XL,https://www.amazon.com/s?k=Mercedes+F1+2021+Formula+One+Team+-+2023+Team+Polo+-+White+-+Men+-+Size%3A+XL,$39.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Men
Mercedes,Mar 26 - 28,Bahrain GP,9,Formula One Team - Womens 2023 Team T-Shirt - Black - Size: L,https://www.amazon.com/s?k=Mercedes+F1+2021+Formula+One+Team+-+Womens+2023+Team+T-Shirt+-+Black+-+Size%3A+L,$29.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Women
Mercedes,Mar 26 - 28,Bahrain GP,10,Formula One Team - Polka Dot Hat - Black - Unisex - Size: One Size,https://www.amazon.com/s?k=Mercedes+F1+2021+Formula+One+Team+-+Polka+Dot+Hat+-+Black+-+Unisex+-+Size%3A+One+Size,$29.99,,,4.0,,1,3,2,5,8,6,4,7,Ret,13,Ret,9,15,10,14,Ret,11,12,,Ret,Unisex
