Race,Category,Weighted_Score
Abu Dhabi GP,Brand,0.07370879120879122
Abu Dhabi GP,Commercial,0.07967032967032966
Abu Dhabi GP,Performance,0.22323076923076923
Abu Dhabi GP,Risk,0.012804487179487178
Australian GP,Brand,0.007734188034188035
Australian GP,Commercial,0.026192307692307692
Australian GP,Performance,0.08792296037296038
Australian GP,Risk,-0.04101282051282052
Austrian GP,Brand,0.0002724358974358974
Austrian GP,Commercial,0.00032867132867132865
Austrian GP,Performance,0.0005067210567210565
Austrian GP,Risk,0.0
Azerbaijan GP,Brand,0.052891025641025644
Azerbaijan GP,Commercial,0.0
Azerbaijan GP,Performance,0.06778368945868946
Azerbaijan GP,Risk,0.013028846153846153
Bahrain GP,Brand,0.02457820512820513
Bahrain GP,Commercial,0.0
Bahrain GP,Performance,0.0627985347985348
Bahrain GP,Risk,0.001076923076923077
Belgian GP,Brand,0.053467307692307696
Belgian GP,Commercial,0.11483183483183484
Belgian GP,Performance,0.07244945609945609
Belgian GP,Risk,0.0
British GP,Brand,-0.0015591422466422467
British GP,Commercial,0.005137362637362638
British GP,Performance,0.020339957264957263
British GP,Risk,0.0
Canadian GP,Brand,0.007051282051282051
Canadian GP,Commercial,0.0
Canadian GP,Performance,0.0021147435897435896
Canadian GP,Risk,0.007051282051282051
Chinese GP,Brand,0.0003730769230769231
Chinese GP,Commercial,5.244755244755244e-05
Chinese GP,Performance,0.016303205128205128
Chinese GP,Risk,0.0
Dutch GP,Brand,0.07337115384615385
Dutch GP,Commercial,0.0021465201465201466
Dutch GP,Performance,0.08796425518925519
Dutch GP,Risk,0.0
Emilia Romagna GP,Brand,0.00027820512820512816
Emilia Romagna GP,Commercial,0.0001993006993006993
Emilia Romagna GP,Performance,0.058986752136752134
Emilia Romagna GP,Risk,0.006256410256410257
Hungarian GP,Brand,0.050973717948717946
Hungarian GP,Commercial,0.011387612387612388
Hungarian GP,Performance,0.08688461538461538
Hungarian GP,Risk,0.0
Italian GP,Brand,0.051839957264957263
Italian GP,Commercial,0.0003426573426573426
Italian GP,Performance,0.08462723387723388
Italian GP,Risk,0.0010423076923076924
Japanese GP,Brand,0.15216615606615605
Japanese GP,Commercial,0.08148046398046398
Japanese GP,Performance,-0.0023115384615384617
Japanese GP,Risk,0.007051282051282051
Las Vegas GP,Brand,0.017582417582417582
Las Vegas GP,Commercial,0.19484265734265735
Las Vegas GP,Performance,0.05435042735042735
Las Vegas GP,Risk,0.0
Mexican GP,Brand,0.0
Mexican GP,Commercial,0.0
Mexican GP,Performance,0.0015243589743589743
Mexican GP,Risk,0.0
Miami GP,Brand,0.04151282051282051
Miami GP,Commercial,0.1668131868131868
Miami GP,Performance,0.6168025335775336
Miami GP,Risk,0.0
Monaco GP,Brand,0.18958910256410258
Monaco GP,Commercial,0.009306693306693307
Monaco GP,Performance,-0.020368803418803417
Monaco GP,Risk,-0.10029914529914528
Qatar GP,Brand,0.04487179487179487
Qatar GP,Commercial,0.008323620823620823
Qatar GP,Performance,0.16223219373219375
Qatar GP,Risk,0.011282051282051281
Saudi Arabian GP,Brand,0.007884615384615386
Saudi Arabian GP,Commercial,0.0
Saudi Arabian GP,Performance,0.006335737179487179
Saudi Arabian GP,Risk,0.001435897435897436
Singapore GP,Brand,0.05868076923076923
Singapore GP,Commercial,0.0
Singapore GP,Performance,0.07031367521367521
Singapore GP,Risk,0.020731837606837607
Spanish GP,Brand,0.05739615384615385
Spanish GP,Commercial,7.692307692307691e-05
Spanish GP,Performance,0.09543290598290598
Spanish GP,Risk,0.007051282051282051
São Paulo GP,Brand,-0.0009487179487179488
São Paulo GP,Commercial,0.04212454212454213
São Paulo GP,Performance,0.010089743589743589
São Paulo GP,Risk,-0.0009487179487179488
United States GP,Brand,0.0016064102564102565
United States GP,Commercial,0.003384615384615385
United States GP,Performance,0.013465201465201465
United States GP,Risk,-0.0007076923076923077
