Race Date,Race Name,Product Rank,Product Name,Current Price,Previous Price,Price Change,Team Cumulative Placement,Team Placement Change,Ferrari Driver LEC Pos,Ferrari Driver HAM Pos
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,1,LEGO,$21.99,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,2,PUMA,$42.00,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,3,PUMA,$62.50,$42.00,+$20.50,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,4,PUMA,$50.93,$62.50,-$11.57,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,7,Castore,$48.16,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,8,PUMA,$32.82,$50.93,-$18.11,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,9,PUMA,$54.50,$32.82,+$21.68,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,10,Bburago,$18.40,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,12,PUMA,$53.82,$54.50,-$0.68,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,13,PUMA,$57.00,$53.82,+$3.18,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,14,PUMA,$91.00,$57.00,+$34.00,18,N/A,8,10
