Race,Hype_Score,Controversy_Score,Performance_Score,Demand_Score
Abu Dhabi GP,0.29693956043956043,0.012804487179487178,0.22323076923076923,0.3097440476190476
Australian GP,0.09537393162393162,0.0480897435897436,0.08792296037296038,0.14346367521367523
Austrian GP,5.7478632478631664e-05,0.0,0.0005067210567210548,5.7478632478631664e-05
Azerbaijan GP,0.11132777777777776,0.015726282051282053,0.06778368945868946,0.12705405982905982
Bahrain GP,0.07697289377289376,0.001282051282051282,0.0627985347985348,0.07825494505494504
Belgian GP,0.1190352564102564,0.0,0.07244945609945609,0.1190352564102564
British GP,0.007015857753357752,0.0,0.017527991452991453,0.007015857753357752
Canadian GP,0.00916602564102564,0.0,0.0021147435897435887,0.00916602564102564
Chinese GP,0.01658653846153846,0.0,0.016303205128205128,0.01658653846153846
Dutch GP,0.16133540903540902,0.0,0.08796425518925519,0.16133540903540902
Emilia Romagna GP,0.058610256410256405,0.006256410256410257,0.058986752136752134,0.06486666666666666
Hungarian GP,0.13452499999999998,0.0,0.08688461538461538,0.13452499999999998
Italian GP,0.1304275641025641,0.002457692307692308,0.08462723387723387,0.1328852564102564
Japanese GP,0.006997474747474747,0.0,-0.0023115384615384612,0.006997474747474747
Las Vegas GP,0.04473504273504273,0.0,0.05435042735042735,0.04473504273504273
Mexican GP,0.0015243589743589743,0.0,0.0015243589743589743,0.0015243589743589743
Miami GP,0.3153666361416361,0.0,0.6091204822954823,0.3153666361416361
Monaco GP,-0.03856175213675213,0.13029914529914527,-0.02036880341880342,0.09173739316239314
Qatar GP,0.05319230769230769,0.011282051282051281,0.16223219373219375,0.06447435897435898
Saudi Arabian GP,0.010464102564102564,0.001435897435897436,0.006335737179487179,0.0119
Singapore GP,0.11937905982905983,0.013680555555555555,0.07031367521367521,0.1330596153846154
Spanish GP,0.12651623931623932,0.0,0.09543290598290596,0.12651623931623932
São Paulo GP,0.00914102564102564,0.0009487179487179488,0.010089743589743589,0.010089743589743589
United States GP,0.013302380952380953,0.0007076923076923077,0.013465201465201464,0.014010073260073261
